episode,reward,avg_reward,step_count,reached_target,distance_to_target
314,-12.137272517531391,-10.614849747697402,250,False,1.0648956
315,-16.527386954679816,-10.72420595033405,250,False,0.85867244
316,-2.1388180083491797,-9.926939085717438,250,False,0.2866625
317,-20.378782734421335,-10.44854705127138,250,False,0.8422824
318,-9.741542923236443,-10.232416182493148,250,False,1.1953851
319,-5.4034224736716965,-9.579782085434719,250,False,0.92529553
320,-7.673903554009454,-9.71649858980134,250,False,0.6810262
321,-4.971232512260782,-9.708144641304205,250,False,0.81797594
322,-14.115613424928762,-10.410360633471113,250,False,1.0005805
323,-2.889285574003279,-9.597726067709214,250,False,0.72928333
324,-12.099509246133955,-9.593949740569471,250,False,1.1987182
325,-5.473680684473058,-8.488579113548793,250,False,0.5422423
326,-11.43024231343075,-9.41772154405695,250,False,1.0812967
327,-4.579765076449969,-7.837819778259815,250,False,0.79558337
328,-5.586549285932592,-7.422320414529429,250,False,1.3278673
329,-11.08495256988012,-7.990473424150272,250,False,1.3538787
330,-2.608855447230876,-7.483968613472415,250,False,0.3112991
331,-15.53088603006729,-8.539933965253066,250,False,0.78443664
332,-8.028664092381009,-7.93123903199829,250,False,0.59715945
333,-11.78721444399312,-8.821031918997274,250,False,0.6268311
334,-5.950746401805398,-8.20615563456442,250,False,1.034952
335,-5.21817281379514,-8.180604847496628,250,False,1.3064668
336,-12.890368146879217,-8.326617430841472,250,False,1.4222773
337,-7.157160213071758,-8.584356944503652,250,False,1.1472638
338,-12.307064168615925,-9.256408432771986,250,False,0.48372525
339,-7.85226398832818,-8.933139574616792,250,False,0.7130027
340,-7.807288589160106,-9.452982888809714,250,False,0.6284474
341,-8.144694910607667,-8.714363776863753,250,False,0.7728504
342,-26.20835312130154,-10.532332679755806,250,True,0.7126974
343,-357.02233693793823,-45.05584492915032,250,False,35.046715
344,-458.2728459247974,-90.28805488144951,250,True,49.287548
345,-439.433839866978,-133.7096215867678,250,False,50.58567
346,-5.9389103023627365,-133.01447580231616,250,False,1.0911689
347,-72.43604052343927,-139.5423638333529,250,False,4.568571
348,-22.96447859770091,-140.60810527626137,250,False,2.2458875
349,-8.755752605116689,-140.69845413794025,250,True,4.160311
350,-266.9898514759849,-166.61671042662275,250,False,45.897488
351,-184.5776679616502,-184.260007731727,250,False,33.596527
352,-173.74557998785588,-199.0137304183824,250,True,43.384632
353,-440.4679469088253,-207.35829141547111,250,False,37.632626
354,-461.60290743509614,-207.691297566501,250,False,58.05301
355,-48.76365622662789,-168.62427920246597,250,True,13.43914
356,-431.58718349683255,-211.18910652191298,250,False,52.022427
357,-221.83277338189905,-226.12877980775892,250,False,38.18593
358,-19.06282449251466,-225.73861439724033,250,True,1.4926951
359,3.72456107748638,-224.49058302898,32,True,0.17757048
360,-15.608087916375014,-199.35240667301903,250,False,1.88029
361,-301.9530593550696,-211.08994581236098,250,False,50.240974
362,-9.417104306671543,-194.65709824424252,250,False,1.241582
363,-7.3042941735078415,-151.34073297071077,250,False,0.74450356
364,-7.128669601031864,-105.89330918730437,250,False,0.8923793
365,-90.6025137641527,-110.07719494105686,250,False,1.4066042
366,-15.350958066392034,-68.4535723980128,250,False,2.2855947
367,-2.745875453457023,-46.544882605168596,250,False,0.2180405
368,-9.692937619281373,-45.60789391784527,250,False,0.5426242
369,-9.833702862231569,-46.96372031181706,250,False,0.85089284
370,-12.987569070221406,-46.7016684272017,250,False,1.2103596
371,-10.129595405552744,-17.51932203225001,250,False,1.3563659
372,-4.675343533272763,-17.045145954910133,250,False,0.5552648
373,-2.277779720330582,-16.542494509592405,250,False,0.47576398
374,-23.221459398588763,-18.151773489348095,250,False,1.9943907
375,-10.038693728566496,-10.095391485789476,250,False,1.0289623
376,-16.342904265167274,-10.194586105667,250,False,1.1715181
377,-8.45955287404642,-10.76595384772594,250,False,0.7784313
378,-12.799976628751223,-11.076657748672924,250,False,1.4965069
379,-16.03925274114564,-11.69721273656433,250,False,1.5413445
380,-4.497573235684013,-10.84821315311059,250,False,0.6784556
381,-10.082013995057089,-10.843455012061028,250,False,0.37777978
382,-14.20456016137678,-11.796376674871428,250,False,1.4967605
383,-7.956695952932769,-12.364268298131645,250,False,0.73783296
384,-9.856416346717296,-11.027763992944498,250,False,0.9835162
385,-13.548562271552136,-11.378750847243063,250,False,0.60689956
386,-4.068535550644265,-10.151313975790762,250,False,0.73565876
387,-11.085759093620698,-10.413934597748192,250,False,0.52025443
388,-10.114724618332565,-10.145409396706324,250,False,0.59879035
389,-2.0422185414701133,-8.74570597673877,250,False,0.3097555
